Token Snapshot: 0.0.7829347

Serial,Owner,Spender,Name,Image,Attributes
586,"0.0.725455",null,null,null,null
585,"0.0.4904643",null,null,null,null
584,"0.0.973889",null,null,null,null
583,"0.0.458059",null,null,null,null
582,"0.0.973559",null,null,null,null
581,"0.0.4641568",null,null,null,null
580,"0.0.458059",null,null,null,null
579,"0.0.1348095",null,null,null,null
578,"0.0.4870694",null,null,null,null
577,"0.0.445590",null,null,null,null
576,"0.0.1433899",null,null,null,null
575,"0.0.1348095",null,null,null,null
574,"0.0.725455",null,null,null,null
573,"0.0.1348095",null,null,null,null
572,"0.0.458059",null,null,null,null
571,"0.0.7843266",null,null,null,null
570,"0.0.512044",null,null,null,null
569,"0.0.458059",null,null,null,null
568,"0.0.634576",null,null,null,null
567,"0.0.458059",null,null,null,null
566,"0.0.3760539","0.0.1064038",null,null,null
565,"0.0.445590",null,null,null,null
564,"0.0.458059",null,null,null,null
563,"0.0.458059",null,null,null,null
562,"0.0.1348095",null,null,null,null
561,"0.0.458059",null,null,null,null
560,"0.0.8142971",null,null,null,null
559,"0.0.512044",null,null,null,null
558,"0.0.8117644",null,null,null,null
557,"0.0.4701500",null,null,null,null
556,"0.0.7763952",null,null,null,null
555,"0.0.458059",null,null,null,null
554,"0.0.973889",null,null,null,null
553,"0.0.4318040",null,null,null,null
552,"0.0.4870694",null,null,null,null
551,"0.0.1433899",null,null,null,null
550,"0.0.836658",null,null,null,null
549,"0.0.4641568",null,null,null,null
548,"0.0.634576",null,null,null,null
547,"0.0.4870694",null,null,null,null
546,"0.0.458059",null,null,null,null
545,"0.0.4641568",null,null,null,null
544,"0.0.1704972",null,null,null,null
543,"0.0.4318040",null,null,null,null
542,"0.0.7821112",null,null,null,null
541,"0.0.445590",null,null,null,null
540,"0.0.6026822",null,null,null,null
539,"0.0.3760539",null,null,null,null
538,"0.0.1348095",null,null,null,null
537,"0.0.4870694",null,null,null,null
536,"0.0.634576",null,null,null,null
535,"0.0.4958794",null,null,null,null
534,"0.0.8117644",null,null,null,null
533,"0.0.7849945",null,null,null,null
532,"0.0.3826476",null,null,null,null
531,"0.0.7843266",null,null,null,null
530,"0.0.973559",null,null,null,null
529,"0.0.445590",null,null,null,null
528,"0.0.7931945",null,null,null,null
527,"0.0.1348095",null,null,null,null
526,"0.0.4318040",null,null,null,null
525,"0.0.458059",null,null,null,null
524,"0.0.813507",null,null,null,null
523,"0.0.458059",null,null,null,null
522,"0.0.4641568",null,null,null,null
521,"0.0.4870694",null,null,null,null
520,"0.0.3760539",null,null,null,null
519,"0.0.725455",null,null,null,null
518,"0.0.458059",null,null,null,null
517,"0.0.512044",null,null,null,null
516,"0.0.4870694",null,null,null,null
515,"0.0.8117644",null,null,null,null
514,"0.0.458059",null,null,null,null
513,"0.0.4870694",null,null,null,null
512,"0.0.458059",null,null,null,null
511,"0.0.7843266",null,null,null,null
510,"0.0.1708350",null,null,null,null
509,"0.0.4641568",null,null,null,null
508,"0.0.725455",null,null,null,null
507,"0.0.4641568",null,null,null,null
506,"0.0.973889",null,null,null,null
505,"0.0.1348095",null,null,null,null
504,"0.0.7931945",null,null,null,null
503,"0.0.4641568",null,null,null,null
502,"0.0.4958794",null,null,null,null
501,"0.0.7763952",null,null,null,null
500,"0.0.5704457",null,null,null,null
499,"0.0.3760539",null,null,null,null
498,"0.0.634576",null,null,null,null
497,"0.0.4958794",null,null,null,null
